Data Source,Column Name,infer_schema method,GPT-4o-mini,Ground Truth
amazon_stock_data_source.csv,date,string,string,string
,open,number,number,number
,high,number,number,number
,low,number,number,number
,close,number,number,number
,adj_close,number,number,number
,volume,number,number,number
,,,,
chess_games_source.csv,id,string,string,string
,rated,boolean,boolean,boolean
,created_at,number,number,number
,last_move_at,number,number,number
,turns,number,number,number
,victory_status,string,string,string
,winner,string,string,string
,increment_code,string,string,string
,white_id,string,string,string
,white_rating,number,number,number
,black_id,string,string,string
,black_rating,number,number,number
,moves,string,complex,string
,opening_eco,string,string,string
,opening_name,string,string,string
,opening_ply,number,number,number
,,,,
ecommerce_transactions_source.csv,InvoiceNo,number,string,number
,StockCode,ambiguous,string,string
,Description,string,string,string
,Quantity,number,number,number
,InvoiceDate,string,string,string
,UnitPrice,number,number,number
,CustomerID,number,number,number
,Country,string,string,string
,,,,
financial_compliance_source.csv,Year,number,number,number
,Firm_Name,string,string,string
,Total_Audit_Engagements,number,number,number
,High_Risk_Cases,number,number,number
,Compliance_Violations,number,number,number
,Fraud_Cases_Detected,number,number,number
,Industry_Affected,string,string,string
,Total_Revenue_Impact,number,number,number
,AI_Used_for_Auditing,boolean,boolean,boolean
,Employee_Workload,number,number,number
,Audit_Effectiveness_Score,number,number,number
,Client_Satisfaction_Score,number,number,number
,,,,
netflix_users_source.csv,User_ID,number,number,number
,Name,string,string,string
,Age,number,number,number
,Country,string,string,string
,Subscription_Type,string,string,string
,Watch_Time_Hours,number,number,number
,Favorite_Genre,string,string,string
,Last_Login,string,string,string
,,,,
pixar_films_source.csv,ID,number,number,number
,film,string,string,string
,film_rating,string,string,string
,cinema_score,boolean,string,string
,release_date,string,string,string
,run_time,number,number,number
,budget,number,number,number
,box_office_us_canada,number,number,number
,box_office_other,number,number,number
,box_office_worldwide,number,number,number
,rotten_tomatoes_score,number,number,number
,rotten_tomatoes_counts,number,number,number
,metacritic_score,number,number,number
,metacritic_counts,number,number,number
,imdb_score,number,number,number
,imdb_counts,number,number,number
,,,,
smartwatch_health_data_source.csv,User ID,number,ambiguous,number
,Heart Rate (BPM),number,number,number
,Blood Oxygen Level (%),number,number,number
,Step Count,number,number,number
,Sleep Duration (hours),ambiguous,number,number
,Activity Level,string,string,string
,Stress Level,number,number,number
,,,,
amazon_reviews_source.json,summary,string,string,string
,reviewerID,string,string,string
,reviewTime,string,string,string
,unixReviewTime,number,number,number
,helpful,complex,complex,complex
,overall,number,number,number
,reviewText,string,string,string
,reviewerName,string,string,string
,asin,string,string,string
,,,,
flight_routes_source.json,dst_lat,number,number,number
,src_lat,number,number,number
,dst_lon,number,number,number
,dst,string,string,string
,src,string,string,string
,src_lon,number,number,number
,,,,
news_categories_source.json,short_description,string,string,string
,category,string,string,string
,date,string,string,string
,authors,string,string,string
,link,string,string,string
,headline,string,string,string
,,,,
recipes_source.json,ingredients,complex,complex,complex
,id,number,number,number
,cuisine,string,string,string
,,,,
social_media_posts_source.json,line_count,number,number,number
,engagement,number,number,number
,tone,string,string,string
,text,string,string,string
,tags,complex,complex,complex
,language,string,string,string
,,,,
students_grades_source.json,Department,string,string,string
,Gender,string,string,string
,Assignments_Avg,number,number,number
,Study_Hours_per_Week,number,number,number
,Participation_Score,number,number,number
,Midterm_Score,number,number,number
,Family_Income_Level,string,string,string
,First_Name,string,string,string
,Attendance (%),number,number,number
,Parent_Education_Level,string,string,string
,Extracurricular_Activities,boolean,boolean,boolean
,Quizzes_Avg,number,number,number
,Last_Name,string,string,string
,Total_Score,number,number,number
,Internet_Access_at_Home,boolean,boolean,boolean
,Age,number,number,number
,Final_Score,number,number,number
,Grade,string,string,string
,Stress_Level (1-10),number,number,number
,Projects_Score,number,number,number
,Student_ID,string,string,string
,Email,string,string,string
,Sleep_Hours_per_Night,number,number,number
