date,open_price,daily_high,daily_low,close_price,trade_volume_millions
2000/01/06,2.145,0.000,3.200,3.278,0.000
2000/01/07,0.000,0.000,0.000,3.478,0.000
2000/01/11,0.000,0.000,3.250,0.000,210.654
2000/01/12,3.394,0.000,0.000,0.000,216.090
2000/01/13,0.000,3.359,3.156,3.297,0.000
2000/01/18,0.000,0.000,3.150,0.000,0.000
2000/01/19,3.206,0.000,3.150,3.341,164.910
2000/01/24,0.000,0.000,3.375,3.506,55.528
2000/01/27,3.259,0.000,0.000,0.000,135.680
2000/02/04,0.000,0.000,3.894,3.928,220.460
2000/02/07,0.000,0.000,3.656,3.750,202.580
2000/02/08,3.700,4.200,0.000,4.156,55.528
2000/02/09,4.027,4.187,2.076,0.000,191.608
2000/02/14,0.000,0.000,0.000,0.000,0.000
2000/02/15,0.000,3.809,0.000,0.000,128.490
2000/02/18,0.000,0.000,2.076,3.237,174.528
2000/02/22,2.145,0.000,0.000,0.000,113.716
2000/02/23,0.000,3.588,3.234,0.000,168.824
2000/02/24,2.145,3.569,0.000,3.422,117.386
2000/02/25,3.372,2.155,3.259,2.130,97.410
2000/02/28,0.000,0.000,0.000,0.000,0.000
2000/03/03,0.000,3.237,0.000,3.125,121.190
2000/03/07,3.244,0.000,0.000,0.000,55.528
2000/03/08,2.145,0.000,3.028,0.000,118.814
2000/03/10,0.000,3.427,0.000,3.344,0.000
2000/03/13,3.200,0.000,3.150,0.000,0.000
2000/03/14,0.000,3.347,3.169,3.281,96.106
2000/03/16,0.000,0.000,3.000,0.000,194.062
2000/03/22,3.544,0.000,0.000,0.000,55.528
2000/03/27,0.000,3.756,0.000,3.656,94.972
2000/03/28,3.619,2.155,3.473,0.000,103.952
2000/03/29,3.475,3.494,0.000,3.312,0.000
2000/03/31,3.338,0.000,0.000,0.000,0.000
2000/04/06,0.000,3.275,0.000,0.000,0.000
2000/04/07,3.256,3.431,0.000,3.378,0.000
2000/04/10,3.362,2.155,3.162,0.000,55.528
2000/04/14,2.394,2.619,0.000,0.000,0.000
2000/04/18,2.381,2.812,2.356,2.747,214.700
2000/04/19,2.766,0.000,0.000,2.672,0.000
2000/04/25,0.000,2.706,0.000,2.130,0.000
2000/05/02,0.000,0.000,2.794,0.000,0.000
2000/05/03,2.763,2.155,2.650,0.000,108.496
2000/05/05,2.731,2.931,0.000,0.000,81.242
2000/05/10,2.727,0.000,2.450,2.666,174.230
2000/05/11,2.697,0.000,0.000,0.000,0.000
2000/05/12,0.000,0.000,2.656,2.130,55.528
2000/05/15,2.145,2.155,2.076,2.803,82.508
2000/05/16,0.000,2.994,2.800,2.953,128.644
2000/05/17,2.859,3.119,0.000,3.050,139.972
2000/05/19,2.731,2.787,0.000,0.000,92.218
2000/05/23,0.000,2.594,0.000,2.334,0.000
2000/05/25,2.145,0.000,0.000,0.000,55.528
2000/05/26,2.312,2.388,2.200,2.325,72.420
2000/05/30,0.000,2.594,2.366,2.588,55.528
2000/06/02,0.000,0.000,2.612,0.000,166.450
2000/06/05,2.752,0.000,2.625,0.000,0.000
2000/06/09,0.000,2.662,2.594,2.609,38.446
2000/06/12,2.145,2.609,0.000,2.130,79.720
2000/06/13,2.145,2.155,2.312,2.450,55.528
2000/06/19,0.000,2.155,2.076,2.266,0.000
2000/06/20,2.294,2.431,2.256,2.306,0.000
2000/06/21,2.272,2.347,0.000,2.303,71.466
2000/06/22,0.000,2.155,2.076,2.130,210.322
2000/06/23,2.145,1.850,0.000,2.130,55.528
2000/06/26,1.766,1.766,1.641,0.000,0.000
2000/06/30,0.000,0.000,2.076,1.816,129.038
2000/07/03,0.000,0.000,1.825,1.850,35.248
2000/07/05,1.850,1.925,0.000,1.825,84.272
2000/07/10,0.000,1.819,0.000,1.753,84.812
2000/07/11,1.759,1.763,1.631,0.000,197.930
